C00002766|09082017|23|55|3344
C00002766|09112017|23|60|1343
C00002766|09122017|25|35|1103
C00002766|09152017|31|30|1110
C00002766|09182017|25|115|3419
C00002766|09192017|25|5|125
C00002766|09212017|25|29|783
C00002766|09222017|25|28|678
C00002766|09252017|23|24|553
C00002766|09272017|25|25|762
C00002766|09282017|25|7|140
C00002766|09292017|5|13|65
C00005785|09212017|250|1|250
C00010421|09102017|46|20|1539
C00010421|09112017|66|4|350
C00010421|09122017|50|3|183
C00010421|09132017|208|1|208
C00010421|09142017|50|9|550
C00010421|09152017|50|9|689
C00010421|09162017|83|1|83
C00010421|09182017|83|13|1032
C00010421|09192017|41|3|154
C00010421|09202017|38|2|75
C00010421|09212017|46|6|480
C00010421|09242017|41|5|248
C00010421|09252017|210|1|210
C00010421|09262017|43|2|85
C00010421|09272017|50|3|298
C00010421|09282017|44|6|304
C00010421|09292017|71|2|141
C00010421|09302017|125|4|499
C00042069|09122017|25|2|50
C00042069|09152017|25|233|11314
C00042069|09262017|300|7|2415
C00042069|09292017|25|234|11319
C00090209|09302017|38|4|150
C00097568|09302017|46|1876|113587
C00148031|09142017|25|26|905
C00148031|09212017|5000|1|5000
C00148031|09282017|25|27|915
C00148031|09292017|50|609|52945
C00196725|09142017|1000|1|1000
C00196725|09152017|20|103|5312
C00196725|09302017|20|101|5230
C00196774|09092017|10|1|10
C00196774|09152017|400|4|1550
C00196774|09172017|10|1|10
C00196774|09182017|500|28|22905
C00196774|09192017|1600|2|3200
C00196774|09212017|25|1|25
C00196774|09222017|15|1|15
C00196774|09232017|250|1|250
C00196774|09242017|10|1|10
C00196774|09252017|750|6|5505
C00196774|09262017|2703|2|5405
C00196774|09272017|100|3|355
C00196774|09282017|255|4|3220
C00196774|09292017|1000|32|37350
C00196774|09302017|1000|7|4700
C00208991|09142017|25|24|680
C00208991|09202017|25|16|828
C00208991|09252017|25|1|25
C00208991|09262017|25|18|2585
C00208991|09272017|40|1|40
C00329896|09082017|13|4|75
C00329896|09092017|10|1|10
C00329896|09102017|48|2|95
C00329896|09112017|60|8|3126
C00329896|09122017|1000|2|2000
C00329896|09172017|10|2|20
C00329896|09182017|50|1|50
C00329896|09202017|10|2|20
C00329896|09222017|10|1|10
C00329896|09232017|10|1|10
C00329896|09242017|5|5|40
C00329896|09252017|10|2|20
C00329896|09262017|8|1|8
C00329896|09272017|10|1|10
C00329896|09282017|8|4|30
C00329896|09292017|10|1|10
C00329896|09302017|160|1|160
C00338087|09082017|17|4|63
C00338087|09152017|38|329|14217
C00338087|09212017|1000|1|1000
C00338087|09222017|17|6|1068
C00338087|09292017|38|291|12692
C00384529|09192017|500|1|500
C00384529|09262017|750|4|3000
C00384529|09282017|500|1|500
C00420760|09082017|138|2|275
C00420760|09102017|500|1|500
C00420760|09112017|1200|4|5100
C00420760|09132017|100|1|100
C00420760|09142017|500|1|500
C00420760|09182017|1000|21|32675
C00420760|09192017|1000|7|5250
C00420760|09212017|500|1|500
C00420760|09232017|50|1|50
C00420760|09252017|2700|1|2700
C00420760|09262017|1000|1|1000
C00420760|09272017|550|6|4950
C00420760|09292017|275|4|1075
C00420760|09302017|1000|5|4000
C00467167|09082017|50|10|643
C00467167|09262017|50|10|643
C00476317|09162017|25|1|25
C00548289|09112017|500|8|8135
C00548289|09122017|500|5|4700
C00548289|09132017|2700|3|2700
C00548289|09142017|750|1|750
C00548289|09152017|1500|12|17950
C00548289|09202017|500|9|4000
C00548289|09212017|1000|2|2000
C00548289|09222017|275|8|6950
C00548289|09232017|1000|1|1000
C00548289|09252017|1750|8|13100
C00548289|09262017|2700|1|2700
C00548289|09272017|2350|6|10600
C00548289|09282017|275|2|550
C00548289|09292017|2400|34|54350
C00548289|09302017|1000|15|20250
C00570994|09222017|17|1|17
C00570994|09292017|1375|2|2750
C00570994|09302017|125|2|250
C00586768|09212017|100|1|100
C00626507|09262017|1000|7|9000
C00626507|09272017|1000|3|3000
C00626507|09282017|1000|1|1000
C00630210|11032017|500|1|500
C00632968|09192017|650|1|650
C00647859|09202017|300|1|300
